ano,mes,periodo,uf,estado,regiao,latitude,longitude,focos_queimada,area_desmatada_km2,precipitacao_mm,temperatura_media_c,indice_vegetacao_ndvi,risco_ambiental_score,nivel_risco,fonte_referencia
2024,1,2024-01,PR,Paraná,Sul,-25.561569925354664,-51.55927985640722,96,12.73,224.9,21.0,0.576,9.8,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,PE,Pernambuco,Nordeste,-8.689037313166835,-34.67001201491974,252,43.17,131.3,28.8,0.478,29.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,PI,Piauí,Nordeste,-7.504600017169905,-41.963340530966505,283,32.87,120.1,29.7,0.403,30.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,RJ,Rio de Janeiro,Sudeste,-22.22600295881789,-43.03180629980413,135,14.01,181.2,24.2,0.465,16.3,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,RN,Rio Grande do Norte,Nordeste,-5.525268973920615,-37.020802510751885,271,22.34,158.5,28.0,0.462,25.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,RS,Rio Grande do Sul,Sul,-29.896361994877942,-53.93293274880733,93,11.59,179.3,20.9,0.594,10.8,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,RO,Rondônia,Norte,-11.068008652552471,-63.25871120599365,527,111.36,338.5,28.0,0.749,34.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,RR,Roraima,Norte,2.2197937630218405,-61.67113858457956,589,72.48,398.1,28.2,0.664,29.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,SC,Santa Catarina,Sul,-27.162278944001926,-50.28612245607112,102,11.29,199.4,21.6,0.603,11.3,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,SP,São Paulo,Sudeste,-22.070596808814177,-48.693158220234494,128,10.47,160.6,23.9,0.546,16.0,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,SE,Sergipe,Nordeste,-10.351016428282248,-37.7500051447457,287,28.08,157.0,28.4,0.63,26.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,1,2024-01,TO,Tocantins,Norte,-9.485490119429906,-48.55637780132394,480,99.43,318.7,28.4,0.756,33.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,AC,Acre,Norte,-8.709386675952086,-70.41513891709491,351,68.95,359.8,28.0,0.661,25.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,AL,Alagoas,Nordeste,-9.373725415771117,-36.40093206488866,210,28.95,135.2,27.7,0.5,25.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,AP,Amapá,Norte,1.5902666902071168,-50.42154397827085,666,59.93,291.6,28.2,0.758,32.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,AM,Amazonas,Norte,-3.2043607728273567,-65.37048882508815,662,114.36,363.5,28.3,0.713,36.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,BA,Bahia,Nordeste,-12.71980893336892,-39.074450554916375,209,21.65,135.6,30.5,0.377,28.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,CE,Ceará,Nordeste,-4.962140787872864,-39.785628321101,228,34.71,135.3,27.7,0.441,26.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,DF,Distrito Federal,Centro-Oeste,-16.538799905330162,-47.7947409898307,488,58.58,184.7,28.9,0.645,33.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,ES,Espírito Santo,Sudeste,-18.886985682040457,-40.760103742469525,145,19.0,162.6,24.5,0.578,18.0,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,GO,Goiás,Centro-Oeste,-16.421309384017267,-49.53874831853083,451,53.1,184.6,28.6,0.632,31.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,MA,Maranhão,Nordeste,-5.667684312966573,-45.28466320014882,385,38.84,110.6,28.2,0.55,30.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,MT,Mato Grosso,Centro-Oeste,-12.728398852987606,-55.8567241136877,700,66.47,198.4,24.6,0.554,31.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,MS,Mato Grosso do Sul,Centro-Oeste,-21.012551752912806,-54.13289268674576,608,39.75,189.6,27.3,0.689,30.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,MG,Minas Gerais,Sudeste,-18.075569270253496,-44.51485975890162,148,10.95,188.7,24.8,0.517,16.8,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,PA,Pará,Norte,-4.473230729832876,-52.53312478326245,806,134.65,387.5,26.8,0.847,37.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,PB,Paraíba,Nordeste,-7.266277664930474,-35.252639266042635,276,29.73,124.6,28.4,0.453,27.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,PR,Paraná,Sul,-24.669629905326737,-51.840148253822726,95,7.63,243.5,21.0,0.625,8.7,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,PE,Pernambuco,Nordeste,-7.832817286474051,-35.27704998609254,224,32.6,143.9,28.6,0.486,27.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,PI,Piauí,Nordeste,-7.425271627399776,-42.273082417495985,274,26.75,130.9,29.5,0.525,28.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,RJ,Rio de Janeiro,Sudeste,-22.216051412252547,-42.451695041097075,165,18.4,172.7,24.9,0.543,18.5,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,RN,Rio Grande do Norte,Nordeste,-5.532918057112972,-36.37155806403175,213,40.89,118.6,27.6,0.544,27.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,RS,Rio Grande do Sul,Sul,-29.82870809330379,-53.55147008352575,100,8.98,197.5,20.9,0.543,10.1,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,RO,Rondônia,Norte,-10.744709475977832,-63.254261700111954,577,95.4,342.9,27.3,0.685,32.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,RR,Roraima,Norte,1.7385445225616474,-61.40470650309914,508,77.09,336.0,26.6,0.653,28.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,SC,Santa Catarina,Sul,-27.800885277623234,-50.95647959759734,95,11.92,242.4,20.7,0.579,8.7,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,SP,São Paulo,Sudeste,-22.228066051959903,-48.64940089726537,126,14.26,161.9,25.0,0.634,17.9,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,SE,Sergipe,Nordeste,-10.840553424349414,-37.441421439009375,281,25.53,137.8,28.6,0.485,27.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,2,2024-02,TO,Tocantins,Norte,-9.154687777147764,-48.19583029799158,638,117.76,363.7,29.5,0.688,37.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,AC,Acre,Norte,-8.954014257588266,-70.81569643154378,724,62.11,295.3,27.3,0.613,32.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,AL,Alagoas,Nordeste,-9.884445134971926,-36.60782828997272,256,30.11,163.6,29.4,0.448,27.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,AP,Amapá,Norte,1.8838553309578945,-51.810088945838416,426,120.65,372.0,27.4,0.636,31.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,AM,Amazonas,Norte,-3.6275229150177353,-64.88200252367837,729,62.71,304.4,27.8,0.733,32.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,BA,Bahia,Nordeste,-13.353624732143254,-39.04693995975747,171,23.76,136.2,29.0,0.519,26.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,CE,Ceará,Nordeste,-4.787245985577661,-39.50636853150646,307,30.05,122.7,29.8,0.486,30.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,DF,Distrito Federal,Centro-Oeste,-15.350978954863677,-48.197723211203034,644,80.4,194.0,28.0,0.645,36.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,ES,Espírito Santo,Sudeste,-19.284292392055598,-40.08886021047142,185,19.73,142.5,23.7,0.438,18.1,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,GO,Goiás,Centro-Oeste,-15.999441694613816,-49.72557709287124,606,60.11,237.6,26.1,0.516,30.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,MA,Maranhão,Nordeste,-5.291690613866103,-45.76895792521457,288,19.74,132.9,27.6,0.517,25.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,MT,Mato Grosso,Centro-Oeste,-12.463583719568755,-55.60559016643035,591,64.78,198.3,28.0,0.556,34.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,MS,Mato Grosso do Sul,Centro-Oeste,-19.822346203479267,-54.527657756809894,402,56.63,175.8,26.8,0.544,29.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,MG,Minas Gerais,Sudeste,-17.834872301483443,-44.56567540166369,127,15.15,176.8,24.4,0.584,16.7,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,PA,Pará,Norte,-3.2142613002745506,-52.56716261384473,737,116.92,239.7,26.6,0.805,38.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,PB,Paraíba,Nordeste,-7.394439154210149,-36.112256212090145,275,29.92,182.4,29.5,0.473,27.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,PR,Paraná,Sul,-24.299500427724603,-51.24142608506769,93,7.5,184.0,20.3,0.521,9.3,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,PE,Pernambuco,Nordeste,-8.091381484710368,-35.43303615401426,249,37.12,135.5,27.9,0.564,27.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,PI,Piauí,Nordeste,-8.199498650836698,-42.5329607671583,241,22.61,112.8,29.3,0.585,28.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,RJ,Rio de Janeiro,Sudeste,-22.540832540743864,-42.565340110977054,145,14.29,166.8,23.9,0.553,16.5,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,RN,Rio Grande do Norte,Nordeste,-5.634678984331466,-36.932144335679496,247,26.53,120.2,28.1,0.522,26.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,RS,Rio Grande do Sul,Sul,-29.970290465992395,-53.76714070478988,91,10.49,177.7,21.2,0.544,11.1,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,RO,Rondônia,Norte,-10.60649263942792,-63.92153202179414,478,70.69,329.0,28.0,0.68,29.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,RR,Roraima,Norte,1.855405559519561,-60.97779751677494,553,63.09,302.5,27.8,0.683,29.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,SC,Santa Catarina,Sul,-28.31507557504455,-51.22891333941467,80,10.65,191.5,21.2,0.659,10.5,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,SP,São Paulo,Sudeste,-22.24448703238723,-48.381276278419065,152,12.41,186.8,24.1,0.555,16.1,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,SE,Sergipe,Nordeste,-10.431941750167596,-37.59734456828709,261,30.08,127.9,28.2,0.456,27.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,3,2024-03,TO,Tocantins,Norte,-9.602826380557543,-48.97334358731225,617,129.57,360.3,27.5,0.796,36.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,AC,Acre,Norte,-8.655575419182542,-70.6266851850831,402,42.0,197.8,27.8,0.822,28.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,AL,Alagoas,Nordeste,-9.169686084877576,-36.661526257376956,287,14.38,90.3,29.2,0.399,28.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,AP,Amapá,Norte,1.2492236851609144,-52.06744552931268,518,97.97,297.4,27.9,0.744,33.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,AM,Amazonas,Norte,-3.3532182631495684,-64.73686101950973,688,76.68,213.8,27.4,0.756,35.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,BA,Bahia,Nordeste,-12.695053984174129,-38.83275786346217,197,22.98,71.4,28.2,0.501,27.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,CE,Ceará,Nordeste,-5.635629146158996,-40.1525520871165,289,36.35,93.1,30.1,0.437,32.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,DF,Distrito Federal,Centro-Oeste,-14.97398680713411,-47.81477258630867,596,66.35,127.6,27.4,0.548,35.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,ES,Espírito Santo,Sudeste,-19.024986075002403,-39.68129142623374,168,18.55,125.6,24.8,0.507,19.8,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,GO,Goiás,Centro-Oeste,-15.960496280698957,-49.47703296853517,593,79.49,117.0,26.4,0.603,35.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,MA,Maranhão,Nordeste,-5.99919983515302,-45.15189029561333,213,41.9,84.2,28.3,0.424,29.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,MT,Mato Grosso,Centro-Oeste,-12.730856972977262,-55.946100033591335,640,61.84,98.8,26.9,0.702,35.8,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,MS,Mato Grosso do Sul,Centro-Oeste,-20.266327772315304,-53.89286536676913,449,54.52,66.3,27.2,0.597,33.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,MG,Minas Gerais,Sudeste,-18.09512474783047,-44.3884437804885,181,13.45,92.5,26.7,0.553,23.1,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,PA,Pará,Norte,-3.9801986698968177,-52.729496023937,815,119.39,189.3,27.4,0.728,43.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,PB,Paraíba,Nordeste,-6.623870182625829,-36.275686581342846,254,26.43,110.1,26.5,0.54,24.9,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,PR,Paraná,Sul,-24.276705344801734,-51.222512562398386,84,8.26,106.2,20.2,0.519,11.4,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,PE,Pernambuco,Nordeste,-8.70774473311218,-34.82045054943966,307,32.45,69.1,28.2,0.507,29.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,PI,Piauí,Nordeste,-7.304234568822513,-43.10837216465996,239,25.69,97.8,29.0,0.46,28.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,RJ,Rio de Janeiro,Sudeste,-21.926590543277584,-42.72471574775504,183,18.09,109.1,24.9,0.481,20.6,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,RN,Rio Grande do Norte,Nordeste,-5.597896517029025,-37.0381502733737,226,34.46,75.7,27.5,0.394,27.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,RS,Rio Grande do Sul,Sul,-30.360721680383133,-53.36030235997678,118,4.88,185.7,21.0,0.575,10.4,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,RO,Rondônia,Norte,-10.849930968302374,-63.232269380887786,657,122.35,215.5,27.9,0.71,40.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,RR,Roraima,Norte,1.9964518765728876,-61.208346403123414,387,60.49,239.4,27.9,0.72,28.9,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,SC,Santa Catarina,Sul,-28.045904261483244,-50.58979552693603,81,7.46,147.2,20.0,0.602,9.8,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,SP,São Paulo,Sudeste,-22.83430598096608,-49.237851938357494,149,14.02,136.0,25.9,0.606,20.2,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,SE,Sergipe,Nordeste,-10.834384026323663,-37.66403123104718,221,28.16,94.7,28.0,0.49,27.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,4,2024-04,TO,Tocantins,Norte,-9.792289611091181,-47.33866627730691,446,72.83,159.7,27.0,0.788,32.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,AC,Acre,Norte,-8.727296564874123,-69.65397041160593,553,80.9,178.5,28.4,0.698,36.3,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,AL,Alagoas,Nordeste,-9.789438470225718,-36.14564300470108,245,35.08,75.7,28.6,0.577,29.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,AP,Amapá,Norte,0.8604213480383403,-52.024498011538704,631,75.36,235.1,28.6,0.764,35.6,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,AM,Amazonas,Norte,-3.336930752147913,-64.88629498915066,579,91.47,234.7,27.9,0.657,35.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,BA,Bahia,Nordeste,-13.541336326730598,-38.359633623303594,245,31.3,99.7,29.0,0.476,29.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,CE,Ceará,Nordeste,-5.21384430384983,-39.29147475591958,259,29.67,66.7,27.7,0.538,28.2,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,DF,Distrito Federal,Centro-Oeste,-15.991796351046766,-48.01207367960131,472,58.38,150.7,26.8,0.615,31.1,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,ES,Espírito Santo,Sudeste,-19.255405075456476,-40.49390587039596,155,16.78,105.6,25.6,0.501,21.1,Baixo,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,GO,Goiás,Centro-Oeste,-15.668629221531798,-49.8312006037536,601,61.67,152.8,26.0,0.625,32.4,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,MA,Maranhão,Nordeste,-5.57592588249027,-44.931315433008805,337,29.29,108.7,30.4,0.46,32.0,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,MT,Mato Grosso,Centro-Oeste,-12.96152818126947,-55.77144926836323,768,71.63,119.1,27.0,0.536,38.5,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
2024,5,2024-05,MS,Mato Grosso do Sul,Centro-Oeste,-20.165487160533196,-54.614896095478926,405,57.56,134.3,28.4,0.555,32.7,Moderado,Dataset sintético acadêmico inspirado em INPE/BDQueimadas/NASA EarthData/MapBiomas
